Hasar Kaydı,KM,Garanti,Vites,Çekiş,Fiyatı,Motor Tipi,Üretim Yılı ,Motor Gücü,Şanzıman,Hızlanma 0-100 km/saat,Azami Sürat,Motor Hacmi,Yakıt Tipi,Ortalama 
1,220,Evet,Yarı Otomatik,Önden Çekiş,350.000 TL,Dizel / 4 silindir,2012 / 2014,115 hp,Powershift / 6 Vites / Önden Çekiş,"10,9 sn",190 km/saat,1560 cc,Dizel,"4,3 lt"
0,280,Hayır,Yarı Otomatik,Önden Çekiş,398.000 TL,Dizel / 4 silindir,2012 / 2014,115 hp,Powershift / 6 Vites / Önden Çekiş,"10,9 sn",190 km/saat,1560 cc,Dizel,"4,3 lt"
0,99.5,Hayır,Otomatik,Önden Çekiş,255.000 TL,Benzinli / 5 silindir,2007 / 2010,180 hp,Powershift / 5 Vites / Önden Çekiş,"9,5 sn",210 km/saat,1984 cc,Benzinli,"9,5 lt"
0,99.03,Hayır,Otomatik,Önden Çekiş,625.000 TL,Benzinli / 4 silindir,2015 / 2019,152 hp,Geartronic / 6 Vites / Önden Çekiş,"8,6 sn",210 km/saat,1498 cc,Benzinli / EURO 6,"5,8 lt"
1,181,Evet,Yarı Otomatik,Önden Çekiş,410.000 TL,Dizel / 4 silindir,2014 / 2016,115 hp,Powershift / 6 Vites / Önden Çekiş,"12,3 sn",190 km/saat,1560 cc,Dizel / EURO 5,"4,1 lt"
1,418,Hayır,Yarı Otomatik,Önden Çekiş,355.750 TL,Dizel / 4 silindir,2012 / 2014,115 hp,Powershift / 6 Vites / Önden Çekiş,"10,9 sn",190 km/saat,1560 cc,Dizel,"4,3 lt"
0,250,Hayır,Yarı Otomatik,Önden Çekiş,365.000 TL,Dizel / 4 silindir,2014 / 2016,115 hp,Powershift / 6 Vites / Önden Çekiş,"12,3 sn",190 km/saat,1560 cc,Dizel / EURO 5,"4,1 lt"
0,262,Hayır,Yarı Otomatik,Önden Çekiş,325.000 TL,Dizel / 4 silindir,2012 / 2014,115 hp,Powershift / 6 Vites / Önden Çekiş,"10,9 sn",190 km/saat,1560 cc,Dizel,"4,3 lt"
1,155,Hayır,Yarı Otomatik,Önden Çekiş,319.900 TL,Dizel / 5 silindir,2007 / 2010,185 hp,Geartronic / 6 Vites / Önden Çekiş,"8,7 sn",210 km/saat,2400 cc,Dizel,"7,5 lt"
0,146.9,Hayır,Yarı Otomatik,Önden Çekiş,428.000 TL,Dizel / 4 silindir,2012 / 2014,115 hp,Powershift / 6 Vites / Önden Çekiş,"10,9 sn",190 km/saat,1560 cc,Dizel,"4,3 lt"
1,283,Hayır,Yarı Otomatik,Önden Çekiş,510.000 TL,Dizel / 4 silindir,2014 / 2015,181 hp,Geartronic / 8 Vites / Önden Çekiş,"7,4 sn",230 km/saat,1969 cc,Dizel / EURO 6,"4,1 lt"
0,175,Hayır,Yarı Otomatik,Önden Çekiş,420.000 TL,Dizel / 4 silindir,2012 / 2014,115 hp,Powershift / 6 Vites / Önden Çekiş,"10,9 sn",190 km/saat,1560 cc,Dizel,"4,3 lt"
1,84,Hayır,Yarı Otomatik,Önden Çekiş,515.000 TL,Dizel / 4 silindir,2014 / 2016,115 hp,Powershift / 6 Vites / Önden Çekiş,"12,3 sn",190 km/saat,1560 cc,Dizel / EURO 5,"4,1 lt"
0,275,Hayır,Yarı Otomatik,Önden Çekiş,345.000 TL,Dizel / 5 silindir,2010 / 2012,163 hp,Otomatik / 6 Vites / Önden Çekiş,"9,2 sn",215 km/saat,1984 cc,Dizel,"5,9 lt"
0,111,Hayır,Yarı Otomatik,Önden Çekiş,550.000 TL,Dizel / 4 silindir,2014 / 2015,181 hp,Geartronic / 8 Vites / Önden Çekiş,"7,4 sn",230 km/saat,1969 cc,Dizel / EURO 6,"4,1 lt"
1,142,Hayır,Yarı Otomatik,Önden Çekiş,540.000 TL,Dizel / 4 silindir,2014 / 2016,115 hp,Powershift / 6 Vites / Önden Çekiş,"12,3 sn",190 km/saat,1560 cc,Dizel / EURO 5,"4,1 lt"
1,179,Hayır,Yarı Otomatik,Önden Çekiş,530.000 TL,Dizel / 4 silindir,2014 / 2016,115 hp,Powershift / 6 Vites / Önden Çekiş,"12,3 sn",190 km/saat,1560 cc,Dizel / EURO 5,"4,1 lt"
0,173,Hayır,Yarı Otomatik,Önden Çekiş,440.000 TL,Dizel / 4 silindir,2014 / 2016,115 hp,Powershift / 6 Vites / Önden Çekiş,"12,3 sn",190 km/saat,1560 cc,Dizel / EURO 5,"4,1 lt"
0,220,Hayır,Yarı Otomatik,Önden Çekiş,389.000 TL,Benzinli / 4 silindir,2011 / 2014,180 hp,Powershift / 6 Vites / Önden Çekiş,"7,4 sn",225 km/saat,1595 cc,Benzinli,"7,6 lt"
1,207,Hayır,Otomatik,Önden Çekiş,455.000 TL,Benzinli / 4 silindir,2015 / 2019,152 hp,Geartronic / 6 Vites / Önden Çekiş,"8,6 sn",210 km/saat,1498 cc,Benzinli / EURO 6,"5,8 lt"
